index,spu_name,label
 1  虎斑幼犬活体大型广西土猎狗赶山猎犬活物幼崽真狗大骨架混血家养  [宠物 宠物医药品 猫狗医药品]
 2  [涵]纯种活物小狗宠物狗幼犬茶杯狗博美俊介犬茶杯犬博美犬家养  [宠物 宠物用品 猫狗喂养用品]
 3  纯种泰迪幼犬活体茶杯犬泰迪犬长不大真狗小狗幼崽宠物泰迪狗家养  [宠物 宠物用品 猫狗喂养用品]
 4  领养茶杯犬博美俊介幼犬活体可爱迷你长不大真狗狗活物幼体宠物  [宠物 宠物医药品 猫狗保健品]
 5  纯种金毛幼犬金毛活体金毛犬导盲犬性格温顺大型犬活体宠物狗犬【  [宠物 宠物医药品 猫狗保健品]
 6  出售中华田园猫家猫土猫捕鼠猫宠物猫幼崽橘猫狸花猫白黑猫咪活体  [宠物 宠物医药品 猫狗保健品]
 7  海双布偶弟弟布偶猫蓝双手套公猫波斯系长毛猫品种猫  [母婴 玩具 毛绒布艺]
 8  阿比西尼亚猫纯种幼猫同城家养猫咪活物宠物埃及短毛小猫幼崽活体  [宠物 宠物医药品 猫狗保健品]
 9  猫咪活体宠物猫家猫狸猫橘猫花猫幼猫黑猫送礼猫小猫活体  [宠物 宠物医药品 猫狗保健品]
 10  江门猫舍纯种美短 起司加白 虎斑猫 无病无藓 可视频挑选送上门  [家居家装 建材 装饰材料]
 11  大帆长鳍长尾蝶翼斑马鱼龙凤斑马热带鱼小型观赏鱼  [宠物 宠物活体 水族活体]
 12  潮汕溪吻虾虎原生冷水小型观赏鱼苗淡水溪流鱼活体包邮  [宠物 宠物活体 水族活体]
 13  热带鱼观赏鱼小型鱼曼龙鱼五彩丽丽鱼好养耐活鱼彩裙鱼宠物活体鱼  [宠物 宠物活体 水族活体]
 14  接吻鱼活体亲嘴鱼KISS鱼可爱萌萌哒热带鱼观赏鱼淡水宠物鱼  [宠物 宠物活体 水族活体]
 15  观赏鱼小型热带鱼大帆蝶翼长尾斑马鱼冷水鱼练手活体鱼苗荧光翡  [宠物 宠物活体 水族活体]
 16  孔雀鱼活体鱼木炭黑黑玫瑰观赏宠物淡水鱼场直销包活满包邮  [宠物 宠物活体 水族活体]
 17  jolly 天竺鼠粮2.5kg荷兰猪葵鼠粮祖莉 al043  宠物用品实体店  [宠物 宠物食品 其它宠物食品]
 18  小仓鼠活体三线银狐金丝熊仓鼠宠物一只仓鼠宝宝幼崽包活一对情侣  [宠物 宠物用品 其它宠物用品]
 19  乌龟活体北美小活体鳄鱼龟杂佛大龟苗宠物龟观赏龟水龟  [宠物 宠物活体 水族活体]
 20  【现货速发】巴西龟批发龟苗活体小乌龟活物观赏宠物龟摆摊夜市外  [宠物 宠物活体 水族活体]
 21  【现货速发】面包虫活体黄粉虫活虫活物乌龟仓鼠龙鱼八哥蜥蜴蜘蛛  [宠物 宠物活体 水族活体]
 22  【现货速发】墨龟苗活体全黑小乌龟活物黑腹外塘情侣龟苗宠物龟水  [宠物 宠物活体 水族活体]
 23  小兔子活体长不大侏儒兔小型熊猫猫猫兔垂耳兔凤眼宠物兔包邮宠物  [宠物 宠物用品 猫狗出行用品]
 24  专业宠物寄养包接送，猫咪狗狗单间带24小时监控，预定春节寄养  [宠物 宠物用品 猫狗出行用品]
 25  毛孩子衣食住行生活需求救助服务  [图书音像 图书 生活]
 26  流浪狗流浪猫救助站宠物云救助基地  [电脑办公 电脑整机 服务器工作站]
 27  小动物的爱心喂养  [母婴 喂养用品 其它-喂养用品]
